date,min_edst,max_kp,category
2017-04-28,-78.30924479166667,2.33,disturbance
2017-04-29,-60.5157470703125,2.0,disturbance
2017-04-30,-65.06494140625,2.0,disturbance
2017-05-01,-118.130859375,2.33,disturbance
2017-05-02,-78.0732421875,2.0,disturbance
2017-05-03,-74.63102213541667,1.33,disturbance
2017-05-04,-70.839599609375,3.33,disturbance
2017-05-05,-76.91813151041667,3.0,disturbance
2017-05-06,nan,1.67,missing
2017-05-07,-72.9847412109375,3.0,disturbance
2017-05-08,-68.6768798828125,2.33,disturbance
2017-05-09,-98.11197916666667,2.0,disturbance
2017-05-10,-79.952880859375,2.67,disturbance
2017-05-11,nan,2.67,missing
2017-05-12,-97.19514973958333,2.67,disturbance
2017-05-13,nan,1.33,missing
2017-05-14,nan,3.0,missing
2017-05-15,nan,3.67,missing
2017-05-16,-60.841796875,2.67,disturbance
2017-05-17,-49.2176513671875,2.33,disturbance
2017-05-18,-39.138671875,3.67,disturbance
2017-05-19,-104.78678385416667,3.67,disturbance
2017-05-20,-75.9024658203125,4.33,disturbance
2017-05-21,-73.14501953125,2.67,disturbance
2017-05-22,-84.415771484375,3.0,disturbance
2017-05-23,-68.60807291666667,3.0,disturbance
2017-05-24,-14.4013671875,1.33,quiet
2017-05-25,-6.9287109375,1.0,quiet
2017-05-26,nan,1.0,missing
2017-05-27,-115.0625,5.67,disturbance
2017-05-28,-116.28515625,7.0,disturbance
2017-05-29,-39.723958333333336,4.0,disturbance
2017-05-30,nan,3.33,missing
2017-05-31,-17.87890625,1.33,quiet
2017-06-01,-14.55859375,2.67,quiet
2017-06-02,-18.740885416666668,1.67,quiet
2017-06-03,-55.712239583333336,3.67,disturbance
2017-06-04,nan,0.67,missing
2017-06-05,-22.8759765625,2.67,quiet
2017-06-06,-16.0673828125,2.0,quiet
2017-06-07,-17.919921875,1.67,quiet
2017-06-08,-12.326822916666666,1.33,quiet
2017-06-09,-13.626953125,2.33,quiet
2017-06-10,-8.270833333333334,1.33,quiet
2017-06-11,-21.923177083333332,5.0,disturbance
2017-06-12,-18.897135416666668,2.33,quiet
2017-06-13,-15.397786458333334,2.67,quiet
2017-06-14,-16.587239583333332,2.33,quiet
2017-06-15,-10.973307291666666,1.67,quiet
2017-06-16,-63.865885416666664,5.0,disturbance
2017-06-17,-42.75390625,4.0,disturbance
2017-06-18,-22.385416666666668,3.33,quiet
2017-06-19,-10.27734375,2.0,quiet
2017-06-20,nan,1.0,missing
2017-06-21,nan,1.67,missing
2017-06-22,nan,2.33,missing
2017-06-23,nan,2.33,missing
2017-06-24,nan,2.67,missing
2017-06-25,nan,3.33,missing
2017-06-26,nan,2.33,missing
2017-06-27,-14.609375,1.67,quiet
2017-06-28,-10.357421875,1.67,quiet
2017-06-29,nan,2.0,missing
2017-06-30,-13.099609375,1.67,quiet
2017-07-01,-37.25390625,3.33,disturbance
2017-07-02,-25.15234375,4.33,disturbance
2017-07-03,-11.62109375,2.0,quiet
2017-07-04,-11.1875,1.67,quiet
2017-07-05,-8.5390625,0.67,quiet
2017-07-06,-39.763671875,3.0,disturbance
2017-07-07,-22.8515625,2.0,quiet
2017-07-08,-8.1884765625,1.0,quiet
2017-07-09,-58.15234375,5.33,disturbance
2017-07-10,-34.8505859375,3.67,disturbance
2017-07-11,-21.123046875,2.33,quiet
2017-07-12,-13.15625,1.33,quiet
2017-07-13,-12.93359375,1.33,quiet
2017-07-14,-12.95703125,0.67,quiet
2017-07-15,-10.8486328125,1.0,quiet
2017-07-16,-115.935546875,6.0,disturbance
2017-07-17,-30.8388671875,5.67,disturbance
2017-07-18,-13.5771484375,3.0,quiet
2017-07-19,-19.3779296875,1.33,quiet
2017-07-20,-16.26904296875,3.0,quiet
2017-07-21,-42.9619140625,3.67,disturbance
2017-07-22,-23.14453125,4.33,disturbance
2017-07-23,-35.4619140625,4.0,disturbance
2017-07-24,-21.1318359375,3.33,quiet
2017-07-25,-29.3828125,3.0,quiet
2017-07-26,-25.103515625,4.0,disturbance
2017-07-27,-14.8642578125,2.67,quiet
2017-07-28,-12.6435546875,2.67,quiet
2017-07-29,-7.6025390625,1.33,quiet
2017-07-30,-7.5927734375,1.0,quiet
2017-07-31,nan,1.0,missing
2017-08-01,-19.388671875,2.33,quiet
2017-08-02,nan,1.67,missing
