Date,Tmin_50-90N_K,T_90N_K,T_50N_K,T_60-90N_K,U_60N_m/s
2001-03-18,205.94,209.51,222.58,212.87,10.64
2001-03-19,205.89,209.5,223.04,213.25,13.14
2001-03-20,206.54,208.71,223.32,213.63,13.6
2001-03-21,207.16,208.41,223.55,213.83,14.01
2001-03-22,206.81,208.41,223.85,214.05,14.2
2001-03-23,205.55,209.46,224.15,214.29,15.58
2001-03-24,205.2,210.03,223.96,214.46,16.39
2001-03-25,204.22,211.09,223.6,214.72,16.44
2001-03-26,204.61,210.93,223.08,214.8,15.72
2001-03-27,204.29,211.55,223.13,215.23,15.44
2001-03-28,204.59,211.41,222.97,215.4,15.51
2001-03-29,205.54,210.93,223.07,215.41,15.2
2001-03-30,206.22,213.05,222.89,215.48,14.65
2001-03-31,206.6,211.83,223.04,215.73,14.92
2001-04-01,206.57,212.54,223.15,215.82,14.49
2001-04-02,207.77,212.39,223.63,215.89,14.97
2001-04-03,208.41,213.07,223.77,215.81,15.89
2001-04-04,209.65,211.66,223.81,216.39,17.84
2001-04-05,210.28,210.53,223.72,216.63,19.3
2001-04-06,210.93,211.1,223.77,217.11,19.21
2001-04-07,211.35,211.38,224.09,217.35,17.87
2001-04-08,212.66,212.77,224.45,217.75,17.46
2001-04-09,212.68,213.3,224.86,218.13,17.84
2001-04-10,213.67,214.52,225.48,218.75,17.92
2001-04-11,213.75,215.77,225.92,218.92,17.94
2001-04-12,214.47,215.72,226.13,219.57,17.88
2001-04-13,214.73,217.03,226.39,220.37,17.67
2001-04-14,214.39,218.34,226.57,221.21,16.59
2001-04-15,214.99,219.03,226.94,221.58,15.19
2001-04-16,216.08,218.36,227.46,221.96,14.08
2001-04-17,216.64,218.81,227.74,222.72,13.06
2001-04-18,216.99,219.87,227.8,223.15,11.88
2001-04-19,218.01,219.89,228.54,223.38,10.77
2001-04-20,218.33,220.2,228.69,223.78,10.43
2001-04-21,218.37,220.55,228.81,224.13,10.1
2001-04-22,219.07,221.04,228.9,224.63,9.99
2001-04-23,219.18,222.69,228.8,225.3,10.01
2001-04-24,218.14,222.81,229.19,225.68,10.0
2001-04-25,219.65,222.49,229.24,226.15,8.76
2001-04-26,220.3,223.3,229.51,226.61,6.65
2001-04-27,222.19,224.03,230.06,227.22,5.19
2001-04-28,222.75,224.35,230.29,227.59,3.53
2001-04-29,223.42,225.48,230.23,228.19,3.34
2001-04-30,223.66,226.4,230.49,228.44,3.44
2001-05-01,224.36,227.06,230.57,228.85,2.98
2001-05-02,223.4,228.41,230.78,229.42,2.28
2001-05-03,224.33,229.17,230.94,229.92,2.16
2001-05-04,225.76,229.23,231.27,230.58,1.89
2001-05-05,225.91,229.28,231.77,230.61,1.2
2001-05-06,225.94,229.49,231.84,230.74,0.86
2001-05-07,226.31,228.73,232.15,230.98,1.34
2001-05-08,227.58,228.94,232.54,231.14,1.35
2001-05-09,226.52,229.85,232.95,231.38,0.79
2001-05-10,225.5,230.01,233.04,231.6,-0.08
2001-05-11,226.49,230.45,233.06,232.19,-0.45
2001-05-12,227.05,231.36,233.1,232.44,-1.55
2001-05-13,227.8,231.85,233.41,233.12,-2.0
2001-05-14,227.81,232.03,233.47,233.3,-2.5
2001-05-15,228.11,233.07,233.61,233.6,-3.09
2001-05-16,228.95,233.8,233.93,234.05,-3.24
2001-05-17,229.61,234.71,233.92,234.54,-3.33
2001-05-18,229.78,234.38,233.98,234.58,-3.33
