date,min_edst,max_kp,category
2019-10-04,-23.16015625,2.67,quiet
2019-10-05,-22.356770833333332,3.0,quiet
2019-10-06,-11.688802083333334,2.0,quiet
2019-10-07,-24.233072916666668,2.67,quiet
2019-10-08,-12.475260416666666,1.67,quiet
2019-10-09,-41.98828125,3.67,disturbance
2019-10-10,-24.7392578125,4.33,disturbance
2019-10-11,-15.936197916666666,3.0,quiet
2019-10-12,-6.893229166666667,2.0,quiet
2019-10-13,-9.452473958333334,0.67,quiet
2019-10-14,-20.072916666666668,2.0,quiet
2019-10-15,-16.71875,2.33,quiet
2019-10-16,-14.065104166666666,2.0,quiet
2019-10-17,-10.522135416666666,1.67,quiet
2019-10-18,-10.498697916666666,2.0,quiet
2019-10-19,-12.712239583333334,1.67,quiet
2019-10-20,-19.774739583333332,2.33,quiet
2019-10-21,-20.975260416666668,2.67,quiet
2019-10-22,-9.793619791666666,1.33,quiet
2019-10-23,-8.767578125,0.67,quiet
2019-10-24,-40.94140625,4.33,disturbance
2019-10-25,-46.572916666666664,5.33,disturbance
2019-10-26,-38.545572916666664,4.67,disturbance
2019-10-27,-24.303385416666668,4.0,disturbance
2019-10-28,-17.26171875,3.33,quiet
2019-10-29,-23.477864583333332,3.0,quiet
2019-10-30,-23.12109375,2.33,quiet
2019-10-31,-38.083333333333336,3.67,disturbance
2019-11-01,-12.139973958333334,2.33,quiet
2019-11-02,-7.841796875,1.0,quiet
2019-11-03,-11.4228515625,1.0,quiet
2019-11-04,-26.85546875,2.0,quiet
2019-11-05,-22.8203125,2.0,quiet
2019-11-06,-17.666015625,2.67,quiet
2019-11-07,-11.345703125,2.0,quiet
2019-11-08,-9.14453125,1.0,quiet
2019-11-09,nan,2.33,missing
2019-11-10,-16.830078125,1.33,quiet
2019-11-11,nan,2.67,missing
2019-11-12,-14.427734375,2.33,quiet
2019-11-13,-9.763671875,1.33,quiet
2019-11-14,nan,2.0,missing
2019-11-15,-9.01904296875,1.33,quiet
2019-11-16,nan,2.33,missing
2019-11-17,nan,2.67,missing
2019-11-18,-10.190104166666666,0.33,quiet
2019-11-19,nan,1.33,missing
2019-11-20,-12.255859375,1.0,quiet
2019-11-21,-29.7197265625,3.67,quiet
2019-11-22,-18.779296875,4.0,disturbance
2019-11-23,-35.677734375,3.0,disturbance
2019-11-24,-12.4091796875,3.33,quiet
2019-11-25,-21.814453125,2.0,quiet
2019-11-26,-11.243489583333334,2.0,quiet
2019-11-27,-14.3203125,2.0,quiet
2019-11-28,-16.007161458333332,1.67,quiet
2019-11-29,-24.790364583333332,2.67,quiet
2019-11-30,-16.639322916666668,1.33,quiet
2019-12-01,-12.013671875,1.67,quiet
2019-12-02,-8.643229166666666,1.0,quiet
2019-12-03,-8.190755208333334,0.33,quiet
2019-12-04,-16.6171875,1.67,quiet
2019-12-05,-17.397135416666668,0.67,quiet
2019-12-06,-9.595703125,1.0,quiet
2019-12-07,nan,0.67,missing
2019-12-08,-16.697265625,1.33,quiet
2019-12-09,-14.240885416666666,2.67,quiet
2019-12-10,-9.888671875,2.0,quiet
2019-12-11,-11.26953125,2.67,quiet
2019-12-12,-13.272135416666666,1.67,quiet
2019-12-13,-10.478515625,2.0,quiet
2019-12-14,-10.3828125,1.33,quiet
2019-12-15,-10.16015625,2.33,quiet
2019-12-16,-43.4169921875,1.0,disturbance
2019-12-17,nan,1.0,missing
2019-12-18,-32.677734375,4.0,disturbance
2019-12-19,-23.677734375,3.67,quiet
2019-12-20,-12.582682291666666,2.33,quiet
2019-12-21,nan,2.33,missing
2019-12-22,nan,1.67,missing
2019-12-23,-11.259765625,1.33,quiet
2019-12-24,-16.042317708333332,1.33,quiet
2019-12-25,-25.6748046875,1.67,quiet
2019-12-26,-9.24609375,2.33,quiet
2019-12-27,nan,1.0,missing
2019-12-28,-6.173828125,0.67,quiet
2019-12-29,-9.806640625,0.67,quiet
2019-12-30,-14.085286458333334,0.67,quiet
2019-12-31,-18.334635416666668,1.33,quiet
2020-01-01,-11.125,1.33,quiet
2020-01-02,-9.9765625,1.0,quiet
2020-01-03,-26.166015625,2.67,quiet
2020-01-04,-22.404296875,2.33,quiet
2020-01-05,-28.9921875,3.33,quiet
2020-01-06,-24.501302083333332,3.33,quiet
2020-01-07,nan,2.0,missing
2020-01-08,-28.806640625,2.67,quiet
2020-01-09,-25.541015625,3.67,quiet
2020-01-10,nan,2.33,missing
2020-01-11,-10.248046875,2.33,quiet
2020-01-12,-7.935546875,1.67,quiet
2020-01-13,-10.6337890625,0.67,quiet
2020-01-14,-12.271484375,0.67,quiet
2020-01-15,-18.693359375,2.0,quiet
2020-01-16,-21.3359375,2.33,quiet
2020-01-17,nan,1.33,missing
2020-01-18,-13.4375,1.67,quiet
2020-01-19,-7.38671875,0.67,quiet
2020-01-20,-5.149088541666667,0.33,quiet
2020-01-21,-24.783203125,2.67,quiet
2020-01-22,-19.9765625,3.0,quiet
2020-01-23,-22.7001953125,2.33,quiet
2020-01-24,nan,1.0,missing
2020-01-25,-11.938151041666666,2.33,quiet
2020-01-26,-9.841796875,1.67,quiet
2020-01-27,-7.360026041666667,1.0,quiet
2020-01-28,-35.62109375,3.0,disturbance
2020-01-29,-28.9384765625,3.33,quiet
2020-01-30,-29.7607421875,3.33,quiet
2020-01-31,-23.041015625,3.67,quiet
2020-02-01,-24.953125,2.33,quiet
2020-02-02,-19.197916666666668,2.33,quiet
2020-02-03,-15.444010416666666,2.0,quiet
2020-02-04,-18.654296875,2.67,quiet
2020-02-05,-8.65234375,2.0,quiet
2020-02-06,-22.999348958333332,4.0,disturbance
2020-02-07,-24.366536458333332,3.33,quiet
2020-02-08,-21.41796875,2.67,quiet
2020-02-09,-7.44921875,2.67,quiet
2020-02-10,-9.392578125,2.0,quiet
2020-02-11,-14.533203125,3.0,quiet
2020-02-12,-15.1396484375,2.0,quiet
2020-02-13,-9.493489583333334,1.33,quiet
2020-02-14,nan,1.67,missing
